,Average_AttendanceTimeSeconds
Postcode_full_N7,-0.011913367355709942
FirstPumpArriving_DeployedFromStation_Tooting,-0.012084955725106967
Postcode_full_E15,-0.012094346140747635
PropertyType_Takeaway/ fast food ,-0.012175848679278123
SecondPumpArriving_DeployedFromStation_Hammersmith,-0.012236302298196947
Postcode_district_E8,-0.012472465104251216
PropertyType_Student Hall of Residence ,-0.012528557179463279
IncidentStationGround_Croydon,-0.01269104459080994
ProperCase_Waltham Forest,-0.012817735593538807
IncGeo_BoroughCode_E09000031,-0.012817735593538807
IncGeo_WardCode_E05009372,-0.012874713454704952
IncGeo_WardCode_E05013536,-0.012914105402891618
FirstPumpArriving_DeployedFromStation_Kensington,-0.013132194660140916
Postcode_full_SW6,-0.01320186847683093
Postcode_district_SW2,-0.013297887500023657
Postcode_full_W14,-0.01331275637803089
IncidentStationGround_Tooting,-0.013339228068977175
Postcode_full_W2,-0.013427606198007825
IncGeo_WardNameNew_South Acton,-0.013613783160419588
IncGeo_WardNameNew_Fairfield,-0.013692956399960852
Postcode_district_infrequent_sklearn,-0.013719492503484084
FirstPumpArriving_DeployedFromStation_Dowgate,-0.013815825718694979
FirstPumpArriving_DeployedFromStation_Islington,-0.013865510416147796
Postcode_district_SW17,-0.013971707656214078
Postcode_district_SW16,-0.014529889163395272
Postcode_full_SW4,-0.014544860790277558
IncGeo_WardCode_E05013702,-0.014765047415050756
IncGeo_WardNameNew_Deptford,-0.014828052089309266
IncidentStationGround_Paddington,-0.01515225932644513
IncGeo_WardNameNew_Clerkenwell,-0.015433573440059137
Postcode_district_NW1,-0.0159411785179485
FirstPumpArriving_DeployedFromStation_Hammersmith,-0.01598699135905985
IncGeo_WardNameNew_Westbourne,-0.0160117489718789
IncGeo_WardNameNew_Bromley Town,-0.01603346056410037
Postcode_full_SE1,-0.0162623094898014
IncGeo_WardCode_E05013719,-0.016293647816940385
IncGeo_WardCode_E05013991,-0.016345324931597963
SecondPumpArriving_DeployedFromStation_Paddington,-0.016377934526632405
FirstPumpArriving_DeployedFromStation_Kentish Town,-0.016791688564749167
FirstPumpArriving_DeployedFromStation_Stratford,-0.016813748583979715
SecondPumpArriving_DeployedFromStation_Chelsea,-0.01724915938199805
IncGeo_WardNameNew_St. Peter's,-0.01740001689289367
IncGeo_WardCode_E05009317,-0.01806485932772059
IncGeo_WardCode_E05013809,-0.01821159923832022
FirstPumpArriving_DeployedFromStation_Holloway,-0.01823996436711031
IncidentStationGround_Kensington,-0.018263963542950557
IncGeo_WardCode_E05011096,-0.018420446344124312
IncGeo_WardNameNew_Bethnal Green,-0.018538414267838924
FirstPumpArriving_DeployedFromStation_Stoke Newington,-0.018541188630461555
IncidentStationGround_Stratford,-0.018620830572568046
SecondPumpArriving_DeployedFromStation_Whitechapel,-0.01862975121442471
PropertyType_Hotel/motel ,-0.0186302372538178
IncidentStationGround_Norbury,-0.01870021814697244
IncGeo_WardNameNew_Falconbrook,-0.01873414063601462
PropertyType_Converted Flat/Maisonette - Up to 2 storeys ,-0.018846952802402273
IncGeo_WardCode_E05009331,-0.01885159540796339
IncidentStationGround_Stoke Newington,-0.018889194067307668
Postcode_district_W6,-0.018954054360444793
FirstPumpArriving_DeployedFromStation_Fulham,-0.019136425037624707
IncidentStationGround_Fulham,-0.019142197502553873
IncGeo_WardCode_E05011095,-0.019219451667426286
IncGeo_WardCode_E05014012,-0.01931329754836697
IncidentStationGround_Holloway,-0.019326598426143003
Postcode_district_SW6,-0.019519001522205107
SecondPumpArriving_DeployedFromStation_Peckham,-0.019596610838020893
FirstPumpArriving_DeployedFromStation_Paddington,-0.019890835707893975
IncGeo_WardCode_E05013662,-0.020095877109353486
Postcode_district_W2,-0.02041485925126661
Postcode_district_N7,-0.02046320558927197
Postcode_full_SE13,-0.02073186067703191
Postcode_full_N16,-0.02076971675349472
IncGeo_WardNameNew_Bunhill,-0.020922723560819773
FirstPumpArriving_DeployedFromStation_Clapham,-0.02094091108918911
Postcode_district_N1,-0.020963358371411816
IncidentStationGround_Hammersmith,-0.02097760946739257
Postcode_district_E9,-0.021064230082263814
IncGeo_WardCode_E05013699,-0.02125538463325866
IncidentStationGround_Euston,-0.02129494157897143
PropertyType_Restaurant/cafe,-0.021368155549478025
FirstPumpArriving_DeployedFromStation_Homerton,-0.02142979776943109
IncGeo_WardCode_E05009377,-0.02148269402857242
ProperCase_Lewisham,-0.021611166676450508
IncGeo_BoroughCode_E09000023,-0.021611166676450508
Postcode_full_W11,-0.02166110743076683
PropertyType_Small refuse/rubbish container,-0.021959960649986454
IncidentStationGround_Islington,-0.02224240843296133
PropertyType_Hospital ,-0.022268745104895803
Postcode_district_E2,-0.022469189673814727
IncGeo_WardNameNew_Holborn & Covent Garden,-0.022553393340312946
Postcode_district_SW11,-0.02281149879910632
IncGeo_WardNameNew_Ladywell,-0.022930156084758707
Postcode_full_SE15,-0.022959479941223833
IncidentStationGround_Bethnal Green,-0.023084077019957377
Postcode_district_E15,-0.023085221754911386
PropertyType_College/University ,-0.023089967736245606
PropertyType_Pub/wine bar/bar ,-0.02310573132173843
FirstPumpArriving_DeployedFromStation_Bethnal Green,-0.023449579653372465
FirstPumpArriving_DeployedFromStation_Euston,-0.023571239387397393
IncGeo_WardNameNew_infrequent_sklearn,-0.023737659179433265
IncidentStationGround_Homerton,-0.02391216556149302
IncGeo_WardNameNew_Spitalfields & Banglatown,-0.02395587554200136
IncGeo_BoroughCode_E09000001,-0.024442953976944258
ProperCase_City Of london,-0.024442953976944258
FirstPumpArriving_DeployedFromStation_Old Kent Road,-0.024758981936099718
IncGeo_WardCode_E05013725,-0.024955465280933606
AddressQualifier_In street outside gazetteer location,-0.024987677768288686
IncidentStationGround_Old Kent Road,-0.025342717724678502
FirstPumpArriving_DeployedFromStation_Lewisham,-0.025483220190595676
ProperCase_Hammersmith And fulham,-0.025510790901544563
IncGeo_BoroughCode_E09000013,-0.025510790901544563
IncidentStationGround_Kentish Town,-0.025619693119065493
IncidentStationGround_Lewisham,-0.025704742674711466
SecondPumpArriving_DeployedFromStation_North Kensington,-0.025878759514767726
IncGeo_WardCode_E05009376,-0.025882319842167177
Postcode_full_SE5,-0.026047778846657644
Postcode_district_W11,-0.02621229597724437
IncidentStationGround_Soho,-0.02630849773100603
